timestamp,service,region,latency_ms,error_rate,throughput_rpm,cpu_pct,memory_pct,queue_depth,saturation_score,anomaly_label
2026-04-01T00:00:00,checkout-api,us-east-1,102.85,0.011,861.11,39.48,51.49,16.29,0.1914,normal
2026-04-01T00:00:00,checkout-api,us-west-2,114.34,0.0107,933.1,43.99,60.76,19.48,0.2131,normal
2026-04-01T00:00:00,checkout-api,eu-central-1,91.01,0.0124,902.86,45.99,46.16,4.05,0.1916,normal
2026-04-01T00:00:00,billing-worker,us-east-1,134.68,0.0071,394.1,41.63,61.65,12.86,0.1849,normal
2026-04-01T00:00:00,billing-worker,us-west-2,148.58,0.0106,369.74,55.74,61.9,27.58,0.2705,normal
2026-04-01T00:00:00,billing-worker,eu-central-1,137.8,0.006,377.73,41.15,62.42,19.99,0.1958,normal
2026-04-01T00:00:00,auth-service,us-east-1,72.32,0.0052,1110.96,51.77,52.34,19.96,0.2313,normal
2026-04-01T00:00:00,auth-service,us-west-2,77.56,0.003,1153.64,52.45,43.9,15.43,0.2206,normal
2026-04-01T00:00:00,auth-service,eu-central-1,74.36,0.0057,1187.3,41.5,47.75,24.62,0.2059,normal
2026-04-01T00:00:00,search-api,us-east-1,100.09,0.0128,785.02,44.9,58.83,7.61,0.1957,normal
2026-04-01T00:00:00,search-api,us-west-2,99.68,0.0066,696.41,31.88,51.23,13.75,0.1515,normal
2026-04-01T00:00:00,search-api,eu-central-1,104.8,0.001,649.38,43.91,68.1,22.63,0.2018,normal
2026-04-01T00:00:00,notification-service,us-east-1,72.08,0.001,338.92,36.11,50.16,25.82,0.181,normal
2026-04-01T00:00:00,notification-service,us-west-2,92.49,0.0096,336.51,45.47,69.16,22.95,0.2234,normal
2026-04-01T00:00:00,notification-service,eu-central-1,88.53,0.0112,297.32,52.25,64.69,22.24,0.2485,normal
2026-04-01T00:00:00,analytics-pipeline,us-east-1,151.58,0.0065,184.4,27.51,56.71,26.16,0.1614,normal
